"year","team","num_home_games","home_avg","num_away_games","away_avg"
2024,"LAD",81,48657,80,36253
2024,"NYY",79,41896,81,32569
2024,"PHI",81,41527,81,31911
2024,"SD",81,41117,81,31243
2024,"ATL",80,37647,81,31196
2024,"CHC",81,35922,81,31646
2024,"STL",80,35872,80,29509
2024,"HOU",81,35002,80,28240
2024,"TOR",81,33101,80,28656
2024,"SF",80,33096,80,31335
2024,"BOS",81,32838,81,29448
2024,"TEX",81,32735,78,30502
2024,"LAA",81,31822,80,25367
2024,"SEA",81,31553,81,27259
2024,"COL",81,31361,80,28878
2024,"MIL",81,31323,81,28470
2024,"NYM",79,29484,80,30771
2024,"ARI",81,28912,80,31039
2024,"BAL",80,28514,81,29491
2024,"CLE",79,26028,81,27310
2024,"CIN",81,24989,81,29862
2024,"WAS",81,24287,80,28043
2024,"MIN",81,24094,79,26343
2024,"DET",78,23824,80,27497
2024,"PIT",81,21239,80,31057
2024,"KC",81,20473,80,25830
2024,"CWS",77,17931,81,28360
2024,"TB",81,16515,81,29891
2024,"MIA",81,13425,81,29027
2024,"OAK",80,11528,81,30228
2023,"LAD",81,47371,80,32291
2023,"NYY",80,40862,81,32573
2023,"SD",81,40389,81,31552
2023,"STL",81,40013,81,28138
2023,"ATL",81,39401,79,29991
2023,"PHI",80,38157,79,30348
2023,"HOU",81,37683,81,28780
2023,"TOR",81,37307,80,28851
2023,"CHC",81,34261,81,32722
2023,"SEA",81,33215,81,28250
2023,"NYM",78,32994,81,29855
2023,"BOS",81,32989,81,29546
2023,"LAA",81,32599,80,31402
2023,"COL",81,32196,81,29608
2023,"MIL",81,31497,81,30340
2023,"TEX",81,31272,81,25922
2023,"SF",81,30866,81,31362
2023,"CIN",81,25164,81,28641
2023,"MIN",81,24371,81,27249
2023,"ARI",81,24212,81,30560
2023,"BAL",81,23911,81,29420
2023,"CLE",78,23513,80,26438
2023,"WAS",81,23034,80,29230
2023,"CWS",78,21405,80,27598
2023,"DET",77,20946,80,26845
2023,"PIT",81,20131,81,29919
2023,"TB",81,17781,81,28075
2023,"KC",81,16136,79,27052
2023,"MIA",81,14355,79,29530
2023,"OAK",81,10275,81,26711
2022,"LAD",81,47671,81,31104
2022,"STL",81,40994,80,27895
2022,"NYY",78,40207,81,30418
2022,"ATL",81,38641,80,28216
2022,"SD",81,36931,80,29754
2022,"NYM",77,33308,80,29330
2022,"HOU",81,33197,80,25112
2022,"TOR",81,32763,78,26280
2022,"COL",80,32467,80,27801
2022,"BOS",81,32408,81,26106
2022,"CHC",81,32305,81,29044
2022,"SF",81,30650,79,29337
2022,"LAA",81,30339,81,25561
2022,"MIL",80,30155,81,27290
2022,"SEA",80,28590,81,22973
2022,"PHI",80,28459,81,29193
2022,"WAS",81,25017,80,27839
2022,"TEX",81,24831,79,22443
2022,"CWS",80,24704,78,22118
2022,"MIN",80,22514,80,22827
2022,"ARI",81,19817,81,29182
2022,"DET",79,19634,76,23612
2022,"BAL",78,17543,81,26132
2022,"CIN",80,17447,81,30005
2022,"CLE",76,17050,80,25315
2022,"KC",80,15974,80,22474
2022,"PIT",81,15524,80,28495
2022,"TB",81,13927,81,25027
2022,"MIA",81,11203,80,27803
2022,"OAK",79,9973,81,26031
2021,"LAD",81,34625,81,25163
2021,"ATL",78,29490,78,17968
2021,"SD",81,27061,79,22140
2021,"STL",80,26281,81,20518
2021,"TEX",81,26052,80,14444
2021,"HOU",81,25537,81,17947
2021,"COL",78,24854,79,20252
2021,"NYY",80,24498,81,20612
2021,"CHC",81,24431,81,22637
2021,"MIL",81,22522,81,19548
2021,"BOS",81,21300,80,19693
2021,"SF",81,20734,80,22467
2021,"NYM",72,20620,79,20723
2021,"CWS",78,20466,80,16576
2021,"PHI",79,19188,79,19985
2021,"LAA",81,18667,81,19075
2021,"CIN",81,18580,81,19527
2021,"WAS",80,18319,78,17401
2021,"MIN",80,16377,79,17219
2021,"SEA",81,15012,79,16869
2021,"CLE",77,14472,80,16264
2021,"KC",81,14316,80,16222
2021,"DET",81,13612,79,16359
2021,"ARI",81,12876,80,20081
2021,"PIT",81,10611,80,20719
2021,"BAL",78,10169,80,16390
2021,"TOR",80,10119,78,16398
2021,"TB",80,9513,81,16339
2021,"OAK",80,8767,81,19085
2021,"MIA",81,7933,79,18015
2019,"LAD",81,49065,81,33427
2019,"STL",81,42967,81,29447
2019,"NYY",79,41827,80,30759
2019,"CHC",81,38208,81,33454
2019,"LAA",81,37321,81,26849
2019,"COL",81,36953,81,30528
2019,"BOS",81,36106,81,28027
2019,"MIL",81,36090,81,29727
2019,"HOU",81,35276,80,26302
2019,"PHI",81,33671,81,28958
2019,"SF",81,33429,81,32452
2019,"ATL",81,32776,80,28829
2019,"NYM",80,30531,81,29425
2019,"SD",81,29585,81,32446
2019,"MIN",81,28322,80,23505
2019,"WAS",81,27898,81,29054
2019,"ARI",81,26364,81,28993
2019,"TEX",81,26333,80,26601
2019,"CIN",81,22329,81,30425
2019,"SEA",81,22122,81,26548
2019,"CLE",79,22008,81,24944
2019,"TOR",81,21606,81,25904
2019,"CWS",76,21442,81,24384
2019,"OAK",81,20521,81,27615
2019,"DET",80,18767,79,24826
2019,"KC",80,18495,80,25072
2019,"PIT",81,18412,81,32070
2019,"BAL",80,16347,78,25484
2019,"TB",80,14734,79,26067
2019,"MIA",81,10016,80,27812
2018,"LAD",82,47042,80,33239
2018,"NYY",81,42998,80,30685
2018,"STL",81,42019,81,29274
2018,"SF",81,38965,81,33915
2018,"CHC",82,38793,80,32800
2018,"LAA",81,37286,81,28034
2018,"COL",81,37233,82,31607
2018,"HOU",81,36796,80,28842
2018,"BOS",81,35747,81,29992
2018,"MIL",81,35195,81,29000
2018,"WAS",80,31620,80,28102
2018,"ATL",81,31552,81,27826
2018,"TOR",80,29066,80,25152
2018,"SEA",81,28388,80,27174
2018,"NYM",79,28164,80,29795
2018,"ARI",81,27687,81,31832
2018,"PHI",79,27318,80,28381
2018,"SD",80,26837,81,30730
2018,"TEX",81,26013,81,26470
2018,"MIN",80,24489,81,27017
2018,"CLE",80,24083,81,26088
2018,"DET",80,23212,80,26157
2018,"KC",81,20556,80,24262
2018,"CIN",81,20115,81,29918
2018,"CWS",80,20110,80,26240
2018,"BAL",78,20053,81,27204
2018,"OAK",81,19427,80,28748
2018,"PIT",78,18786,81,31288
2018,"TB",81,14258,80,26381
2018,"MIA",81,10013,79,28917
2017,"LAD",81,46492,81,33579
2017,"STL",81,42567,81,31324
2017,"SF",81,40785,81,31376
2017,"NYY",79,39835,81,32354
2017,"TOR",81,39554,81,29912
2017,"CHC",81,39500,81,34460
2017,"LAA",81,37278,81,27663
2017,"COL",81,36464,81,30575
2017,"BOS",81,36020,81,31563
2017,"MIL",81,31589,81,30530
2017,"WAS",81,31172,81,29967
2017,"TEX",81,30960,81,26699
2017,"ATL",81,30929,79,29230
2017,"NYM",80,30757,81,30372
2017,"HOU",81,29674,79,27678
2017,"DET",81,28661,80,26725
2017,"KC",80,27754,80,28458
2017,"SD",81,26401,81,32161
2017,"SEA",81,26363,80,26797
2017,"ARI",81,26350,81,31939
2017,"MIN",80,25640,80,27797
2017,"CLE",81,25285,80,27729
2017,"BAL",81,25042,81,29457
2017,"PHI",79,24118,81,30940
2017,"PIT",81,23696,81,32633
2017,"CIN",81,22677,81,32094
2017,"CWS",79,20626,81,28443
2017,"MIA",81,20395,80,29160
2017,"OAK",80,18446,80,29466
2017,"TB",80,15670,81,29898
2016,"LAD",81,45719,81,32959
2016,"STL",81,42524,80,31092
2016,"TOR",81,41880,81,30065
2016,"SF",81,41546,81,32164
2016,"CHC",81,39906,81,35052
2016,"NYY",81,37819,81,30940
2016,"LAA",81,37236,81,28676
2016,"BOS",81,36486,81,32290
2016,"NYM",80,34870,80,30791
2016,"TEX",81,33461,81,27560
2016,"COL",81,32129,81,31464
2016,"KC",81,31576,81,27979
2016,"DET",80,31173,81,28313
2016,"WAS",81,30641,81,29664
2016,"SD",81,29029,81,32847
2016,"MIL",81,28575,81,30954
2016,"HOU",81,28476,81,28041
2016,"PIT",80,28112,81,29999
2016,"SEA",81,27999,81,28309
2016,"BAL",81,26819,81,31796
2016,"ARI",81,25138,81,32701
2016,"ATL",81,24949,80,28026
2016,"MIN",81,24245,81,27357
2016,"PHI",81,23643,81,30783
2016,"CIN",81,23383,81,31895
2016,"CWS",80,21828,81,28188
2016,"MIA",80,21405,81,28510
2016,"CLE",81,19650,79,26940
2016,"OAK",81,18784,81,29511
2016,"TB",81,15878,81,30093
2015,"LAD",81,46479,81,34525
2015,"STL",81,43467,80,31317
2015,"SF",81,41677,81,34121
2015,"NYY",80,39922,81,31322
2015,"LAA",81,37194,81,28958
2015,"CHC",81,36540,80,34422
2015,"BOS",81,35564,81,32263
2015,"TOR",81,34504,79,27762
2015,"DET",81,33654,79,29719
2015,"KC",81,33438,81,27681
2015,"WAS",81,32343,80,30230
2015,"NYM",81,31725,81,30693
2015,"MIL",81,31389,81,31634
2015,"COL",80,31334,81,30962
2015,"PIT",81,30846,81,33049
2015,"TEX",81,30763,81,29073
2015,"SD",81,30367,81,31721
2015,"CIN",81,29870,80,32075
2015,"BAL",79,29374,81,28714
2015,"MIN",81,27408,80,29306
2015,"SEA",81,27081,81,29052
2015,"HOU",81,26587,81,28121
2015,"ARI",81,25680,80,32654
2015,"ATL",80,25017,81,29699
2015,"PHI",78,23475,81,30906
2015,"CWS",80,21947,80,29030
2015,"OAK",81,21829,81,29526
2015,"MIA",81,21632,80,29215
2015,"CLE",78,17806,81,29150
2015,"TB",81,15403,81,28189
